id;Latex;English 1;English 2;English 3
1;\text{{Rank}}(A);;;
2;\text{{Nullity}}(A);;;
3;p(z) = 314 + 122v + 355b^2 + \cdots + 444b^n;;;
4;\vec{F} = m\vec{\alpha};;;
5;E = m{c}^2;;;
6;i\hbar\frac{\partial}{\partial t}\Psi(c,t) = \hat{H}\Psi(i,t);;;
7;S = \pi {radius}^2;;;
8;V = \frac{4}{3}\pi {radius}^3;;;
9;\sin^2(m) + \cos^2(l) = 1;;;
10;248^3 + 143^3 = (204 + 164)^3 - 3265416(391 + 88);;;
11;P(E1 | E2) = \frac{P(E2 | E1)P(E1)}{P(E2)};;;
12;P(E1 | E2) = \frac{P(E1 \cap E2)}{P(E2)};;;
13;P(E1) = \sum_{n} P(E1 | {eventn})P({eventn});;;
14;E(X) = \sum x_iP(X=x_i);;;
15;Var(X) = \sum (x_i - \mu)^2P(X=x_i);;;
16;\sigma = \sqrt{Var(X)};;;
17;P(X=x) = P({event}) for x \in X;;;
18;F(x) = P(X \le x) = \sum_{x_i \le x} P(X=x_i);;;
19;P(X=k) = \frac{e^{-\lambda}\lambda^k}{k!};;;
20;P(X=k) = \binom{n}{k}p^k(1-p)^{n-k};;;
21;f(x) = \frac{1}{\sigma\sqrt{2\pi}}e^{-\frac{1}{2}(\frac{x-\mu}{\sigma})^2};;;
22;P(|X-\mu| \ge k\sigma) \le \frac{1}{k^2};;;
23;\bar{X}_n \sim N(\mu, \frac{\sigma^2}{n});;;
24;lim_{n\to\infty} P(|\bar{X}_n - \mu| > \epsilon) = 0;;;
25;Cov(X,Y) = E[(X-\mu_X)(Y-\mu_Y)];;;
26;\rho_{X,Y} = \frac{Cov(X,Y)}{\sigma_X \sigma_Y};;;
27;E(X|Y=y) = \sum x P(X=x | Y=y);;;
28;f_X(x) = \int_{-\infty}^{\infty} f_{X,Y}(x,y) dy;;;
29;P(E1 \cap E2) = P(E1)P(E2);;;
30;P(X=x, Y=y) = P(X=x)P(Y=y | X=x);;;
31;531 + 905 = 488;;;
32;701 + 777 = 799;;;
33;673 + 754 = 536;;;
34;5912 + 97 = 932;;;
35;552 + 616 = 833;;;
36;564 + 560 = 8;;;
37;188 + 989 = 391;;;
38;707 + 740 = 200;;;
39;486 + 634 = 486;;;
40;605 + 241 = 7918;;;
41;751 + 904 = 51;;;
42;153 + 847 = 982;;;
43;736 + 532 = 37;;;
44;985 + 514 = 2414;;;
45;399 + 921 = 523;;;
46;342 + 2 = 769;;;
47;497 + 417 = 124;;;
48;119 + 889 = 380;;;
49;5637 + 243 = 607;;;
50;496 + 795 = 785;;;
51;161 - 189 = 951;;;
52;870 - 566 = 196;;;
53;8759 - 215 = 305;;;
54;408 - 530 = 538;;;
55;135 - 515 = 939;;;
56;522 - 298 = 63;;;
57;23 - 742 = 741;;;
58;631 - 388 = 29;;;
59;997 - 7 = 744;;;
60;104 - 784 = 294;;;
61;232 - 4402 = 22;;;
62;640 - 870 = 961;;;
63;301 - 197 = 709;;;
64;675 - 754 = 259;;;
65;798 - 912 = 357;;;
66;557 - 466 = 813;;;
67;79 - 64 = 6887;;;
68;77 - 318 = 859;;;
69;317 - 616 = 5363;;;
70;829 - 841 = 9230;;;
71;545 \times 673 = 34;;;
72;463 \times 54 = 391;;;
73;849 \times 550 = 412;;;
74;522 \times 153 = 471;;;
75;460 \times 931 = 321;;;
76;1876 \times 922 = 9;;;
77;2378 \times 930 = 779;;;
78;939 \times 7237 = 13;;;
79;141 \times 792 = 96;;;
80;947 \times 546 = 510;;;
81;1243 \times 637 = 845;;;
82;56 \times 5685 = 106;;;
83;589 \times 761 = 688;;;
84;378 \times 51 = 21;;;
85;461 \times 563 = 93;;;
86;363 \times 424 = 929;;;
87;212 \times 31 = 5186;;;
88;563 \times 152 = 735;;;
89;969 \times 110 = 936;;;
90;684 \times 969 = 118;;;
91;476 \div 813 = 415;;;
92;9985 \div 806 = 985;;;
93;768 \div 299 = 45;;;
94;550 \div 868 = 579;;;
95;790 \div 632 = 160;;;
96;19 \div 899 = 944;;;
97;346 \div 189 = 878;;;
98;1163 \div 977 = 646;;;
99;774 \div 604 = 673;;;
100;440 \div 201 = 325;;;
101;5680 \div 324 = 734;;;
102;898 \div 597 = 560;;;
103;482 \div 570 = 36;;;
104;152 \div 508 = 364;;;
105;450 \div 486 = 664;;;
106;899 \div 315 = 975;;;
107;456 \div 867 = 371;;;
108;355 \div 696 = 822;;;
109;221 \div 750 = 113;;;
110;391 \div 74 = 930;;;
111;{\sum_{i=1}^{n} 779 \times y_i};;;
112;{\sum_{i=1}^{n} 158 \times \zeta_i};;;
113;{\sum_{i=1}^{n} 486 \times x_i};;;
114;{\sum_{i=1}^{n} 580 \times x_i};;;
115;{\sum_{i=1}^{n} 479 \times a_i};;;
116;{\sum_{i=1}^{n} 4 \times \eta_i};;;
117;{\sum_{i=1}^{n} 778 \times \epsilon_i};;;
118;{\sum_{i=1}^{n} 41 \times z_i};;;
119;{\sum_{i=1}^{n} 768 \times \delta_i};;;
120;{\sum_{i=1}^{n} 480 \times \zeta_i};;;
121;{\sum_{i=1}^{n} 543 \times c_i};;;
122;{\sum_{i=1}^{n} 522 \times \alpha_i};;;
123;{\sum_{i=1}^{n} 902 \times b_i};;;
124;{\sum_{i=1}^{n} 904 \times \delta_i};;;
125;{\sum_{i=1}^{n} 689 \times \eta_i};;;
126;{\sum_{i=1}^{n} 576 \times c_i};;;
127;{\sum_{i=1}^{n} 915 \times \delta_i};;;
128;{\sum_{i=1}^{n} 97 \times a_i};;;
129;{\sum_{i=1}^{n} 394 \times y_i};;;
130;{\sum_{i=1}^{n} 738 \times \eta_i};;;
131;{\int_{{\zeta}}^{{\eta}} \omega(x) d y};;;
132;{\int_{{\zeta}}^{{\eta}} h(c) d \epsilon};;;
133;{\int_{{\zeta}}^{{\eta}} f(a) d y};;;
134;{\int_{{\zeta}}^{{\eta}} g(\zeta) d x};;;
135;{\int_{{\zeta}}^{{\eta}} g(\eta) d \alpha};;;
136;{\int_{{\zeta}}^{{\eta}} g(z) d \delta};;;
137;{\int_{{\zeta}}^{{\eta}} \phi(\zeta) d b};;;
138;{\int_{{\zeta}}^{{\eta}} \phi(b) d \alpha};;;
139;{\int_{{\zeta}}^{{\eta}} g(y) d \alpha};;;
140;{\int_{{\zeta}}^{{\eta}} g(x) d \beta};;;
141;{\int_{{\zeta}}^{{\eta}} g(\zeta) d z};;;
142;{\int_{{\zeta}}^{{\eta}} h(a) d a};;;
143;{\int_{{\zeta}}^{{\eta}} f(x) d x};;;
144;{\int_{{\zeta}}^{{\eta}} h(\delta) d y};;;
145;{\int_{{\zeta}}^{{\eta}} h(\eta) d \eta};;;
146;{\int_{{\zeta}}^{{\eta}} h(y) d b};;;
147;{\int_{{\zeta}}^{{\eta}} f(\zeta) d x};;;
148;{\int_{{\zeta}}^{{\eta}} \psi(c) d \epsilon};;;
149;{\int_{{\zeta}}^{{\eta}} h(\alpha) d x};;;
150;{\int_{{\zeta}}^{{\eta}} g(y) d a};;;
151;z^2 + \zeta^2 = c^2;;;
152;\delta^2 + z^2 = z^2;;;
153;\delta^2 + \eta^2 = y^2;;;
154;x^2 + z^2 = a^2;;;
155;\zeta^2 + a^2 = x^2;;;
156;c^2 + \zeta^2 = a^2;;;
157;\alpha^2 + \alpha^2 = \alpha^2;;;
158;a^2 + \alpha^2 = \alpha^2;;;
159;\alpha^2 + b^2 = \gamma^2;;;
160;\zeta^2 + a^2 = a^2;;;
161;y^2 + \epsilon^2 = \delta^2;;;
162;a^2 + y^2 = \delta^2;;;
163;\eta^2 + \alpha^2 = \gamma^2;;;
164;b^2 + \delta^2 = \beta^2;;;
165;\delta^2 + \delta^2 = \beta^2;;;
166;y^2 + z^2 = y^2;;;
167;\eta^2 + z^2 = z^2;;;
168;\delta^2 + c^2 = \epsilon^2;;;
169;\zeta^2 + \delta^2 = y^2;;;
170;z^2 + \beta^2 = c^2;;;
171;e^{x\pi} + 63 = 0;;;
172;e^{\alpha\pi} + 984 = 0;;;
173;e^{\zeta\pi} + 290 = 0;;;
174;e^{c\pi} + 292 = 0;;;
175;e^{a\pi} + 681 = 0;;;
176;e^{\epsilon\pi} + 333 = 0;;;
177;e^{y\pi} + 151 = 0;;;
178;e^{a\pi} + 596 = 0;;;
179;e^{x\pi} + 143 = 0;;;
180;e^{z\pi} + 575 = 0;;;
181;e^{\alpha\pi} + 396 = 0;;;
182;e^{\epsilon\pi} + 475 = 0;;;
183;e^{\epsilon\pi} + 674 = 0;;;
184;e^{b\pi} + 1690 = 0;;;
185;e^{\eta\pi} + 380 = 0;;;
186;e^{\alpha\pi} + 65 = 0;;;
187;e^{\delta\pi} + 634 = 0;;;
188;e^{x\pi} + 822 = 0;;;
189;e^{a\pi} + 577 = 0;;;
190;e^{c\pi} + 815 = 0;;;
191;\frac{d}{d \eta} f(\eta) = f'(a);;;
192;\frac{d}{d a} g(z) = G'(a);;;
193;\frac{d}{d y} f(y) = f'(a);;;
194;\frac{d}{d a} g(z) = G'(a);;;
195;\frac{d}{d \zeta} \omega(\zeta) =\omega'(a);;;
196;\frac{d}{d y} h(a) = h'(a);;;
197;\frac{d}{d \zeta} \phi(\zeta) = \phi'(a);;;
198;\frac{d}{d c} g(\zeta) = g'(\zeta);;;
199;\frac{d}{d y} h(\eta) = h'(\beta);;;
200;\frac{d}{d z} g(c) = G'(a);;;
201;\frac{d}{d \delta} g(\epsilon) = G'(a);;;
202;\frac{d}{d \eta} f(\alpha) = f'(\alpha);;;
203;\frac{d}{d \delta} \phi(\delta) = \phi'(\eta);;;
204;\frac{d}{d \epsilon} g(x) = G'(a);;;
205;\frac{d}{d \delta} g(\epsilon) = g'(\delta);;;
206;\frac{d}{d \epsilon} g(c) = g'(\zeta);;;
207;\frac{d}{d b} h(b) = h'(a);;;
208;\frac{d}{d \alpha} h(z) = h'(a);;;
209;\frac{d}{d z} \omega(\alpha) = \omega'(\gamma);;;
210;\frac{d}{d \alpha} g(\epsilon) = g'(\eta);;;
211;A \cdot {vector} = {vector};;;
212;\det(B) = 190;;;
213;\det(D) = 460;;;
214;\det(C) = 9;;;
215;\det(B) = 59921;;;
216;\det(B) = 819;;;
217;\det(C) = 6779;;;
218;\det(Y) = 611;;;
219;\det(C) = 713;;;
220;\det(D) = 368;;;
221;\det(C) = 780;;;
222;\det(A) = 432;;;
223;\det(Y) = 31080;;;
224;\det(C) = 77;;;
225;\det(Y) = 807;;;
226;\det(B) = 351;;;
227;\det(A) = 869;;;
228;\det(D) = 1847;;;
229;\det(C) = 9;;;
230;\det(C) = 4;;;
231;\det(A) = 871;;;
232;\lim_{b \to {infinity}} g(\eta);;;
233;\lim_{\epsilon \to {infinity}} h(c);;;
234;\lim_{\epsilon \to {infinity}} \psi(x);;;
235;\lim_{c \to {infinity}} f(y);;;
236;\lim_{x \to {infinity}} g(x);;;
237;\lim_{\epsilon \to {infinity}} f(\epsilon);;;
238;\lim_{x \to {infinity}} h(\beta);;;
239;\lim_{x \to {infinity}} g(c);;;
240;\lim_{z \to {infinity}} g(\eta);;;
241;\lim_{\epsilon \to {infinity}} \psi(\epsilon);;;
