Spoken Text,Formula ID,Latex,Audio Path,Spoken Text Version,Transcribed Text,LLM Predicted Latex,Similarity Score
The rank of a matrix A.,1,\text{{Rank}}(A),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f1.mp3,1,The rank of a matrix A,\text{rank}(A),
The nullity of a given matrix A.,2,\text{{Nullity}}(A),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f2.mp3,1,the nullity of a given matrix A.,\text{Nullity}(A),0.0
"P of z equals three hundred fourteen plus one hundred twenty-two times v plus three hundred fifty-five times b squared, and so on, up to four hundred forty-four times b to the power of n.",3,p(z) = 314 + 122v + 355b^2 + \cdots + 444b^n,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f3.mp3,1,p of variable equals number plus number times variable plus number times variable squared and so on. Until number times variable to the power of n,p(x) = a_0 + a_1x + a_2x^2 + \ldots + a_nx^n,
Force vector equals mass times acceleration vector.,4,\vec{F} = m\vec{\alpha},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f4.mp3,1,Force vector equals mass times acceleration vector.,\vec{F} = m \vec{a},0.0
Energy equals mass times the speed of light squared.,5,E = m{c}^2,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f5.mp3,1,E equals mass times the speed of light squared,E = m \cdot c^2,
I times h-bar times the partial derivative of Psi with respect to time equals H-hat times Psi of i and t.,6,"i\hbar\frac{\partial}{\partial t}\Psi(c,t) = \hat{H}\Psi(i,t)",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f6.mp3,1,i x h bar times the partial derivative of psi with respect to time equals h hat times psi.,$i\hbar\frac{\partial \psi}{\partial t} = \hat{H} \psi$,
S equals pi times the radius squared.,7,S = \pi {radius}^2,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f7.mp3,1,S equals pi times the radius squared.,S = \pi \times r^2,
Volume equals four thirds pi times the radius cubed.,8,V = \frac{4}{3}\pi {radius}^3,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f8.mp3,1,volume equals 4 3rds pi times the radius cubed.,V = \frac{4}{3}\pi r^3,
Sine squared of m plus cosine squared of l equals one.,9,\sin^2(m) + \cos^2(l) = 1,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f9.mp3,1,sin2 of a variable plus cos2 of the same variable equals 1,\sin^2 x + \cos^2 x = 1,
"Two hundred forty-eight cubed plus one hundred forty-three cubed equals the sum of two hundred four and one hundred sixty-four cubed, minus three million two hundred sixty-five thousand four hundred sixteen times the sum of three hundred ninety-one and eighty-eight.",10,248^3 + 143^3 = (204 + 164)^3 - 3265416(391 + 88),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f10.mp3,1,The cube of a number plus the cube of another number equals the cube of the sum of those two numbers. −3 times the product of those two numbers times the sum of those two numbers.,x^3 + y^3 = (x + y)^3 - 3xy(x+y),
